subject_id,enrolled_date,sex_status,spay_neuter_date,study_status,birth_date,withdrawn_date,inactive_date,death_date,is_euthanized,coat_color
grls81UM1522,2013-05,Neutered Male,2014-04,Enrolled,2012-08,,,,0.0,medium golden
grlsQKO57ROO,2013-04,Neutered Male,2012-05,Inactive,2011-09,,2019-05,,0.0,light golden
grlsVMQFNK33,2013-05,Spayed Female,2018-10,Enrolled,2012-05,,,,0.0,light golden
grls9KYH1GAA,2013-04,Intact Male,,Enrolled Deceased,2011-10,,,2022-12,0.0,light golden
grlsGZEB79QQ,2013-05,Spayed Female,2012-01,Enrolled Deceased,2011-05,,,2019-11,0.0,light golden
grlsXISA2YRR,2013-05,Spayed Female,2012-09,Enrolled,2012-02,,,,0.0,light golden
grlsP0F0A455,2013-05,Spayed Female,2012-04,Enrolled Deceased,2011-04,,,2024-07,1.0,light golden
grlsIEOM14RR,2013-04,Neutered Male,2012-08,Enrolled,2012-01,,,,0.0,dark golden
grlsWZSGXLKK,2013-05,Spayed Female,2012-01,Enrolled Deceased,2011-09,,,2020-09,0.0,light golden
grlsXZJJ94DD,2013-05,Spayed Female,2012-07,Enrolled,2012-02,,,,0.0,light golden
grlsUFZRYGYY,2013-04,Spayed Female,2013-06,Enrolled Deceased,2012-09,,,2023-08,0.0,light golden
grlsXFBEMJKK,2013-05,Neutered Male,2012-12,Enrolled Deceased,2011-12,,,2021-03,1.0,light golden
grlsJ66SW4UU,2013-04,Spayed Female,2013-09,Enrolled Deceased,2011-04,,,2023-12,0.0,light golden
grlsWTJCGTOO,2013-05,Spayed Female,2017-11,Enrolled,2012-05,,,,0.0,medium golden
grlsD3O0F7NN,2013-05,Spayed Female,2011-11,Enrolled Deceased,2011-04,,,2022-12,1.0,light golden
grls634H26FF,2013-04,Intact Male,,Enrolled,2011-05,,,,0.0,dark golden
grlsJ2SZ35II,2013-05,Neutered Male,2012-04,Enrolled Deceased,2011-10,,,2024-12,1.0,light golden
grlsEBPBMP88,2013-05,Spayed Female,2017-08,Enrolled Deceased,2012-07,,,2024-04,1.0,light golden
grlsE4WF7Y66,2013-05,Neutered Male,2014-01,Enrolled Deceased,2012-08,,,2022-07,1.0,medium golden
grlsJ237EKQQ,2013-05,Neutered Male,2013-03,Inactive,2012-09,,2018-04,,0.0,blonde
grls0ODDD7QQ,2013-05,Neutered Male,2013-06,Enrolled Deceased,2012-01,,,2024-11,1.0,light golden
grlsK52ZI955,2013-05,Spayed Female,2014-06,Enrolled,2012-05,,,,0.0,medium golden
