subject_id,year_in_study,record_date,substance,PoisonControlLastYear,PoisonControlMoreThanTwice,lifespan
grlsGX6DHOO,0,2013-05,daffodils,1,0,
grlsGX6DHOO,2,2015-05,carpet,1,0,
grlsGX6DHOO,6,2019-04,cushion/bed foam,1,0,
grlsGXI98U11,7,2021-12,bread dough,1,0,
grlsH2QK8KK,1,2015-11,medication - ativan,1,0,
grlsH2QK8KK,5,2019-12,marijuana/thc,1,0,
grlsH2QK8KK,6,2021-01,marijuana/thc,1,0,
grlsH2QK8KK,7,2021-11,organic fly trap,1,0,
grlsH63CO8TT,1,2014-07,unspecified poison,1,0,11.748117727583846
grlsH819NCC,0,2014-06,medication - tricor (60mg),1,0,
grlsHFAQ2VV,1,2015-04,dirt,1,0,
grlsHINJVV22,0,2013-09,glass,1,0,
grlsHINJVV22,1,2015-01,glass,1,0,
grlsHMXPKF55,0,2014-11,cement,1,0,
grlsHNWDKEVV,0,2014-02,cell phone charger,1,0,9.25119780971937
grlsHNWDKEVV,1,2015-05,cell phone charger,1,0,9.25119780971937
grlsHOGPQIDD,5,2018-11,"soap, female panty linter, food skewer, grapes",1,1,10.335386721423683
grlsHPTRZVGG,4,2018-01,burrs,1,0,
grlsHTH5U533,7,2021-05,grapes,1,0,
grlsHY06UYFF,6,2021-01,rodent poison,1,0,
grlsHZFJDBB,1,2015-04,bandage,1,0,9.084188911704311
grlsI177HBBB,1,2015-06,steel,1,0,
grlsI3AT2X55,1,2015-10,dark chocolate,1,0,
grlsI4RK7W55,0,2013-06,sponge,1,0,8.084873374401095
grlsI4RK7W55,1,2014-07,sponge,1,0,8.084873374401095
grlsI8TC3SCC,0,2013-10,medication - asthma inhaler,1,0,10.08350444900753
grlsI8TC3SCC,1,2014-10,chocolate,1,0,10.08350444900753
grlsI8TC3SCC,7,2020-11,medication - overdose of heartworm medication,1,0,10.08350444900753
grlsIB8ZCI66,0,2014-02,raisins,1,0,10.584531143052704
grlsIB8ZCI66,2,2016-04,purple nightshade,1,0,10.584531143052704
grlsIFPY0Y33,1,2015-10,silicone,1,0,
grlsIFPY0Y33,4,2018-11,bread dough,1,0,
grlsIGPYD4ZZ,4,2018-09,avocado,1,0,
grlsIGPYD4ZZ,5,2019-08,unknown,1,0,
grlsIGPYD4ZZ,7,2021-07,avocado,1,0,
grlsIGWA7XOO,1,2015-08,"bromethalin, vole",1,0,
grlsIQLVMMUU,6,2018-11,"insect poison, philodendron",1,0,
grlsIR3T6HDD,1,2016-01,bone,1,0,4.418891170431212
grlsIRH5Z6OO,1,2015-02,"medication - fortiflora (x60), rubber",1,0,7.082819986310746
grlsIY49NKWW,0,2013-02,toe spacer,1,0,6.913073237508556
grlsJ1UUTL,0,2014-04,toy stuffing,1,0,
grlsJ1UUTL,1,2015-04,butter,1,0,
grlsJ1UUTL,7,2021-05,grapes,1,0,
grlsJ237EKQQ,2,2015-04,fire starter,1,0,
grlsJ7RDPHKK,1,2016-01,medication - australian dream arthritis cream,1,0,6.839151266255989
grlsJ7RDPHKK,5,2020-01,rodent poison,1,0,6.839151266255989
grlsJ83YMRR,0,2012-12,wild mushroom - unspecified,1,0,9.998631074606434
grlsJ8YI4W22,0,2014-12,medication - advil,1,0,
grlsJCDT4YFF,0,2013-01,chocolate,1,0,
grlsJCDT4YFF,4,2017-02,sweet'n low,1,0,
grlsJE4JG3OO,0,2014-03,o'keeffe's working hands,1,0,10.496919917864476
grlsJE4JG3OO,1,2015-04,rodent poison,1,0,10.496919917864476
grlsJIJ61F44,0,2013-11,fabric,1,0,12.498288843258042
grlsJIJ61F44,4,2017-12,gravel,1,0,12.498288843258042
grlsJIJ61F44,5,2018-12,gravel,1,0,12.498288843258042
grlsJIOY4YLL,4,2017-09,medication - overdose of sileo,1,0,
grlsJLU8ABKK,7,2020-03,cooking fat,1,0,
grlsJS60YMLL,0,2012-09,"acorn, grass",1,0,12.583162217659138
grlsJS60YMLL,6,2018-10,digital thermometer,1,0,12.583162217659138
grlsJX4I57SS,0,2014-05,philodendron,1,0,7.41409993155373
grlsJYXJ3M99,3,2018-01,"citronella, medication - pain medication",1,0,
grlsJZZZLQ33,0,2013-02,wild mushroom - unspecified,1,0,
grlsJZZZLQ33,3,2016-04,dark chocolate,1,0,
grlsJZZZLQ33,4,2017-04,bulb,1,0,
grlsK6PLE6YY,0,2014-01,wood - unspecified,1,0,
grlsK6PLE6YY,1,2015-03,drywall,1,0,
grlsK6PLE6YY,2,2016-05,drywall,1,0,
grlsK7UKBMWW,0,2014-09,medication - pataday eye drops,1,0,
grlsK8JL2ZZ,6,2020-11,unknown,1,0,
grlsKIUYF2II,0,2013-02,medication - magnesium,1,0,
