subject_id,year_in_study,record_date,state,travel_length_weeks,travel_start_month,regular_work_visits,work_visit_hours,work_visit_days,type,travel_mode,travel_mode_other,country,region_name
grls0LSLKO,4,2017-06,PA,0,,1,4.0,2.0,work,Unknown,,US,Northeast
grls0LSLKO,5,2018-06,PA,0,,1,4.0,2.0,work,Unknown,,US,Northeast
grls0LSLKO,5,2018-06,PA,0,,1,4.0,2.0,work,Unknown,,US,Northeast
grls0MWS6OMM,1,2014-09,CO,1.0,August,0,0,0,other (possibly kennel),Unknown,,US,Mountain
grls0MWS6OMM,7,2020-09,CO,0.5,July,0,0,0,,Unknown,,,
grls0NOGYCWW,3,2016-12,CA,0,,1,24.0,7.0,work,Unknown,,US,Pacific
grls0NOGYCWW,3,2016-12,CA,0,,1,24.0,7.0,work,Unknown,,US,Pacific
grls0NOGYCWW,4,2017-12,NJ,6.0,September,0,0,0,other,Car,,US,Northeast
grls0NOGYCWW,4,2017-12,NJ,0,,0,0,0,other,Unknown,,US,Northeast
grls0O6N06KK,1,2015-07,NY,1.0,March,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,1,2014-03,SC,1.0,August,0,0,0,other (possibly kennel),Unknown,,US,South
grls0ODDD7QQ,1,2014-03,SC,1.0,March,0,0,0,other (possibly kennel),Unknown,,US,South
grls0ODDD7QQ,1,2014-03,MA,1.0,August,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,1,2014-03,MA,1.0,March,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,2,2015-04,CO,7.0,June,0,0,0,other (possibly kennel),Unknown,,US,Mountain
grls0ODDD7QQ,2,2015-04,CO,1.0,August,0,0,0,other (possibly kennel),Unknown,,US,Mountain
grls0ODDD7QQ,2,2015-04,CO,1.0,March,0,0,0,other (possibly kennel),Unknown,,US,Mountain
grls0ODDD7QQ,2,2015-04,CO,1.0,September,0,0,0,other (possibly kennel),Unknown,,US,Mountain
grls0ODDD7QQ,2,2015-04,SC,7.0,June,0,0,0,other (possibly kennel),Unknown,,US,South
grls0ODDD7QQ,2,2015-04,SC,1.0,August,0,0,0,other (possibly kennel),Unknown,,US,South
grls0ODDD7QQ,2,2015-04,SC,1.0,March,0,0,0,other (possibly kennel),Unknown,,US,South
grls0ODDD7QQ,2,2015-04,SC,1.0,September,0,0,0,other (possibly kennel),Unknown,,US,South
grls0ODDD7QQ,2,2015-04,MA,7.0,June,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,2,2015-04,MA,1.0,August,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,2,2015-04,MA,1.0,March,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,2,2015-04,MA,1.0,September,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,2,2015-04,PA,7.0,June,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,2,2015-04,PA,1.0,August,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,2,2015-04,PA,1.0,March,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,2,2015-04,PA,1.0,September,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0ODDD7QQ,3,2016-05,CO,9.0,June,0,0,0,other,Car,,US,Mountain
grls0ODDD7QQ,3,2016-05,CO,1.0,August,0,0,0,other,Car,,US,Mountain
grls0ODDD7QQ,3,2016-05,CO,2.0,April,0,0,0,other,Car,,US,Mountain
grls0ODDD7QQ,3,2016-05,CO,0,,0,0,0,other,Unknown,,US,Mountain
