subject_id,year_in_study,record_date,spent_most_time_day,indoor_crate_flooring,indoor_carpet_flooring,indoor_hardwood_flooring,indoor_cement_flooring,indoor_tile_flooring,indoor_linoleum_flooring,indoor_laminate_flooring,indoor_furniture_flooring,indoor_other_flooring,indoor_other_flooring_specify,day_outdoor_garage,day_outdoor_kennel,day_outdoor_fenced,day_outdoor_chain_or_lead,day_outdoor_other_percentage,day_outdoor_other_percentage_specify,day_outdoor_total_percentage,furniture_type_wood,furniture_type_leather,furniture_type_upholstered,furniture_type_other,furniture_type_other_specify
grlsKOFQ3044,7,2019-06,Indoors,0,0,0,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKOORUGEE,0,2014-01,Both,1,0,0,0,0,1,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grlsKOORUGEE,1,2015-01,Both,0,1,0,0,0,1,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grlsKOORUGEE,2,2016-01,Both,1,1,0,0,0,1,0,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,1,0,1,0,
grlsKOORUGEE,3,2017-01,Both,0,0,0,0,0,1,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grlsKOORUGEE,4,2018-01,Both,0,0,0,0,0,1,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grlsKOORUGEE,5,2019-01,Both,1,1,0,0,0,1,0,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,1,0,
grlsKOORUGEE,6,2020-01,Both,0,0,0,0,0,1,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grlsKPFOP8UU,0,2014-06,Both,1,1,1,0,1,0,1,0,0,,0.0,20.0,40.0,10.0,30.0,inside house,100.0,0,0,0,0,
grlsKPFOP8UU,1,2015-06,Both,1,1,1,0,1,0,0,0,0,,0.0,0.0,95.0,5.0,0.0,,100.0,0,0,0,0,
grlsKPFOP8UU,2,2016-07,Both,0,1,1,0,1,0,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grlsKPFOP8UU,3,2017-07,Indoors,0,1,1,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,0,0,
grlsKPFOP8UU,4,2018-07,Indoors,0,1,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKPFOP8UU,5,2019-07,Both,0,1,1,0,0,0,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grlsKPOF5HPP,0,2013-07,Both,0,1,1,0,0,0,1,0,0,,0.0,0.0,10.0,90.0,0.0,,100.0,0,0,0,0,
grlsKPOF5HPP,1,2014-08,Indoors,0,0,1,0,0,1,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,1,0,
grlsKQI3IJII,0,2013-12,Indoors,0,0,1,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKQI3IJII,1,2015-01,Indoors,0,0,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKQI3IJII,2,2016-01,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKQI3IJII,3,2017-02,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKQI3IJII,4,2018-01,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKQI3IJII,5,2019-01,Indoors,0,1,1,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKRQ2F4FF,0,2012-10,Both,0,1,0,0,0,0,1,0,0,,0.0,25.0,75.0,0.0,0.0,,100.0,0,0,0,0,
grlsKRQ2F4FF,1,2013-10,Both,0,1,0,0,0,1,0,1,0,,0.0,25.0,75.0,0.0,0.0,,100.0,0,1,1,0,
grlsKRQ2F4FF,2,2014-10,Both,0,0,1,0,1,0,0,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,1,1,1,0,
grlsKRQ2F4FF,3,2015-12,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKRQ2F4FF,4,2017-06,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKRRYGSSS,0,2013-03,Both,1,1,1,0,1,0,1,0,0,,10.0,0.0,90.0,0.0,0.0,,100.0,0,0,0,0,
grlsKRRYGSSS,2,2015-03,Both,0,1,1,0,0,0,0,1,0,,1.0,0.0,99.0,0.0,0.0,,100.0,1,1,1,0,
grlsKRRYGSSS,3,2016-03,Both,0,1,1,0,1,0,0,1,0,,1.0,0.0,99.0,0.0,0.0,,100.0,1,1,1,0,
grlsKRRYGSSS,4,2017-03,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKRRYGSSS,5,2018-02,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKRRYGSSS,6,2019-03,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKS0TR99,0,2013-03,Indoors,1,1,0,1,0,1,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKS0TR99,1,2014-07,Indoors,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKS0TR99,2,2015-06,Both,0,1,0,0,0,0,0,0,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,0,0,0,
grlsKS0TR99,3,2016-06,Both,0,1,0,1,0,1,0,0,0,,0.0,20.0,20.0,0.0,60.0,open space,100.0,0,0,0,0,
grlsKS0TR99,4,2017-06,Both,0,1,0,0,0,0,1,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,1,1,0,
grlsKS0TR99,5,2018-06,Both,0,1,0,0,0,0,1,0,0,,0.0,30.0,40.0,0.0,30.0,open space,100.0,0,0,0,0,
grlsKS0TR99,6,2019-06,Both,0,1,0,0,0,0,1,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,1,1,0,
grlsKS0TR99,7,2020-06,Both,0,1,0,0,0,0,1,1,0,,0.0,0.0,100.0,0.0,0.0,,100.0,0,1,1,0,
grlsKSEHF355,0,2013-10,Indoors,1,1,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSEHF355,1,2014-09,Indoors,1,0,0,0,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSEHF355,2,2015-08,Indoors,1,1,0,0,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSEHF355,3,2016-08,Indoors,1,1,0,0,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSEHF355,4,2017-09,Indoors,1,1,0,0,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSEHF355,5,2018-09,Indoors,1,1,0,0,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSEHF355,6,2019-08,Indoors,1,1,0,0,0,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKSLZ3V77,0,2014-03,Indoors,0,1,0,0,0,1,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
